DateCode,DateString,Date,Url
04-12-2019-E,"Wednesday, December 4, 2019, Evening",2019-12-04 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/798e7795-c920-4197-95be-81ecbbb9d656/1/doc/
04-12-2019-A,"Wednesday, December 4, 2019, Afternoon",2019-12-04 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/536ba009-e07f-4567-8345-2837c77d1484/1/doc/
04-12-2019-M,"Wednesday, December 4, 2019, Morning",2019-12-04 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/af4dc80b-5c3f-4734-8961-7f2e8409c16d/1/doc/
03-12-2019-E,"Tuesday, December 3, 2019, Evening",2019-12-03 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/4e75e7de-364f-4acc-9b25-db953bb29e06/1/doc/
03-12-2019-A,"Tuesday, December 3, 2019, Afternoon",2019-12-03 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/e7946fa8-6096-4476-8ac5-48ac6ebbff76/1/doc/
03-12-2019-M,"Tuesday, December 3, 2019, Morning",2019-12-03 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/f3a83d4e-d0c6-45a5-8d84-65f4e4786aab/1/doc/
02-12-2019-E,"Monday, December 2, 2019, Evening",2019-12-02 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/49446ad0-5bcf-4178-b01f-ffc86c85afd1/1/doc/
02-12-2019-A,"Monday, December 2, 2019, Afternoon",2019-12-02 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/3f604722-3335-4c0a-88af-81bbc7108fc9/1/doc/
28-11-2019-A,"Thursday, November 28, 2019, Afternoon",2019-11-28 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/fb7035a9-6cd4-4c6f-92d8-49e7ad6f2dd9/1/doc/
28-11-2019-M,"Thursday, November 28, 2019, Morning",2019-11-28 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/bd78f595-a681-4e80-93ac-5965dea90d2b/1/doc/
27-11-2019-A,"Wednesday, November 27, 2019, Afternoon",2019-11-27 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/16f719ca-c3c9-4531-ae07-7d76da8c9403/1/doc/
27-11-2019-M,"Wednesday, November 27, 2019, Morning",2019-11-27 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/8200d767-f096-474e-9b6f-d2d1405fa8a9/1/doc/
26-11-2019-E,"Tuesday, November 26, 2019, Evening",2019-11-26 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/9e3bca9e-a7c5-4e1e-95a6-32d45920bfdb/1/doc/
26-11-2019-A,"Tuesday, November 26, 2019, Afternoon",2019-11-26 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/1bf8de00-6b50-4b22-a2be-eb52b77822c2/1/doc/
26-11-2019-M,"Tuesday, November 26, 2019, Morning",2019-11-26 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/d6e7030f-33f1-4887-b041-1bbd120930c0/1/doc/
25-11-2019-E,"Monday, November 25, 2019, Evening",2019-11-25 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/b73fccff-6d9f-4a83-b860-e7a0282ebcc6/1/doc/
25-11-2019-A,"Monday, November 25, 2019, Afternoon",2019-11-25 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/185ff2e1-371f-4ca3-a92d-968ae1c438a3/1/doc/
21-11-2019-A,"Thursday, November 21, 2019, Afternoon",2019-11-21 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/3a919d4b-0269-430a-b76c-4008dc3ccf1f/1/doc/
21-11-2019-M,"Thursday, November 21, 2019, Morning",2019-11-21 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/0f5d8783-d7f9-4b3d-a284-9d8d4a9d139b/1/doc/
