RidingNumber,RidingName,Title,FirstName,LastName,Caucus,LegislativePhoneNumber,RidingPhoneNumber,Email
47,Airdrie-Cochrane,Mr.,Pete,Guthrie,UCP,780.638.3018,587.493.2050,Airdrie.Cochrane@assembly.ab.ca
48,Airdrie-East,Mrs.,Angela,Pitt,UCP,780.644.7121,403.948.8741,Airdrie.East@assembly.ab.ca
49,Athabasca-Barrhead-Westlock,Mr.,Glenn,van Dijken,UCP,780.644.7152,780.674.3225,Athabasca.Barrhead.Westlock@assembly.ab.ca
50,Banff-Kananaskis,Ms.,Miranda,Rosin,UCP,780.643.1027,403.609.4509,Banff.Kananaskis@assembly.ab.ca
51,Bonnyville-Cold Lake-St. Paul,Mr.,David,Hanson,UCP,587.404.8096,780.826.5658,Bonnyville.ColdLake.StPaul@assembly.ab.ca
52,Brooks-Medicine Hat,Ms.,Michaela,Glasgo,UCP,780.638.3022,587.270.5110,Brooks.MedicineHat@assembly.ab.ca
1,Calgary-Acadia,Hon.,Tyler,Shandro,UCP,780.427.3665,403.640.1363,Calgary.Acadia@assembly.ab.ca
2,Calgary-Beddington,Hon.,Josephine,Pon,UCP,780.415.9550,403.215.7710,Calgary.Beddington@assembly.ab.ca
3,Calgary-Bow,Hon.,Demetrios,Nicolaides,UCP,780.427.5777,403.216.5400,Calgary.Bow@assembly.ab.ca
4,Calgary-Buffalo,Mr.,Joe,Ceci,NDP,780.415.1800,403.244.7737,Calgary.Buffalo@assembly.ab.ca
5,Calgary-Cross,Mr.,Mickey,Amery,UCP,780.638.1371,403.248.4487,Calgary.Cross@assembly.ab.ca
6,Calgary-Currie,Mr.,Nicholas,Milliken,UCP,780.643.1040,403.246.4794,Calgary.Currie@assembly.ab.ca
7,Calgary-East,Mr.,Peter,Singh,UCP,780.638.1399,587.496.2052,Calgary.East@assembly.ab.ca
8,Calgary-Edgemont,Hon.,Prasad,Panda,UCP,780.427.5041,403.288.4453,Calgary.Edgemont@assembly.ab.ca
9,Calgary-Elbow,Hon.,Doug,Schweitzer,UCP,780.427.2339,403.252.0346,Calgary.Elbow@assembly.ab.ca
10,Calgary-Falconridge,Mr.,Devinder,Toor,UCP,780.638.3016,403.280.4022,Calgary.Falconridge@assembly.ab.ca
11,Calgary-Fish Creek,Mr.,Richard,Gotfried,UCP,780.643.6541,403.278.4444,Calgary.FishCreek@assembly.ab.ca
12,Calgary-Foothills,Hon.,Jason,Luan,UCP,780.427.0165,403.216.5444,Calgary.Foothills@assembly.ab.ca
13,Calgary-Glenmore,Ms.,Whitney,Issik,UCP,780.638.2813,403.216.5421,Calgary.Glenmore@assembly.ab.ca
14,Calgary-Hays,Hon.,Ric,McIver,UCP,780.427.2080,403.215.4380,Calgary.Hays@assembly.ab.ca
15,Calgary-Klein,Mr.,Jeremy,Nixon,UCP,780.643.1039,403.216.5430,Calgary.Klein@assembly.ab.ca
16,Calgary-Lougheed,Premier,Jason,Kenney,UCP,780.427.2251,403.238.1212,Calgary.Lougheed@assembly.ab.ca
17,Calgary-McCall,Mr.,Irfan,Sabir,NDP,780.415.1800,403.216.5424,Calgary.McCall@assembly.ab.ca
18,Calgary-Mountain View,Ms.,Kathleen,Ganley,NDP,780.415.1800,403.216.5445,Calgary.MountainView@assembly.ab.ca
19,Calgary-North,Mr.,Muhammad,Yaseen,UCP,780.643.1026,403.274.1931,Calgary.North@assembly.ab.ca
20,Calgary-North East,Hon.,Rajan,Sawhney,UCP,780.643.6210,587.318.2946,Calgary.NorthEast@assembly.ab.ca
21,Calgary-North West,Hon.,Sonya,Savage,UCP,780.427.3740,403.297.7104,Calgary.Northwest@assembly.ab.ca
