RidingNumber,RidingName,Title,FirstName,LastName,HansardName,Caucus,LegislativePhoneNumber,RidingPhoneNumber,Email
,,,Leela,Aheer,Mrs. Aheer,UCP,,,
,,,Shaye,Anderson,Mr. W. Anderson,NDP,,,
,,,Wayne,Anderson,Mr. S. Anderson,UCP,,,
,,,Erin,Babcock,Ms Babcock,NDP,,,
,,,Drew,Barnes,Mr. Barnes,UCP,,,
,,,Deron,Bilous,Mr. Bilous,NDP,,,
,,,Oneil,Carlier,Mr. Carlier,NDP,,,
,,,Jon,Carson,Mr. Carson,NDP,,,
,,,Joe,Ceci,Mr. Ceci,NDP,,,
,,,Greg,Clark,Mr. Clark,ABP,,,
,,,Michael,Connolly,Mr. Connolly,NDP,,,
,,,Craig,Coolahan,Mr. Coolahan,NDP,,,
,,,Nathan,Cooper,Mr. Cooper,UCP,,,
,,,Estefania,Cortes-Vargas,Cortes-Vargas,NDP,,,
,,,Scott,Cyr,Mr. Cyr,UCP,,,
,,,Lorne,Dach,Mr. Dach,NDP,,,
,,,Thomas,Dang,Mr. Dang,NDP,,,
,,,Deborah,Drever,Ms Drever,NDP,,,
,,,Wayne,Drysdale,Mr. Drysdale,UCP,,,
,,,David,Eggen,Mr. Eggen,NDP,,,
,,,Mike,Ellis,Mr. Ellis,UCP,,,
,,,Richard,Feehan,Mr. Feehan,NDP,,,
,,,Derek,Fildebrandt,Mr. Fildebrandt,UCP,,,
,,,Maria,Fitzpatrick,Ms Fitzpatrick,UCP,,,
,,,Rick,Fraser,Mr. Fraser,UCP,,,
,,,Kathleen,Ganley,Ms Ganley,NDP,,,
,,,Prabhdeep,Gill,Mr. Gill,IND,,,
,,,Nicole,Goehring,Ms Goehring,NDP,,,
,,,Laila,Goodridge,Ms Goodridge,UCP,,,
,,,Richard,Gotfried,Mr. Gotfried,UCP,,,
,,,Christina,Gray,Ms Gray,NDP,,,
,,,Dave,Hanson,Mr. Hanson,UCP,,,
,,,Bruce,Hinkley,Mr. Hinkley,NDP,,,
,,,Sarah,Hoffman,Ms Hoffman,NDP,,,
,,,Trevor,Horne,Mr. Horne,NDP,,,
,,,Grant,Hunter,Mr. Hunter,UCP,,,
,,,Debbie,Jabbour,Ms Jabbour,NDP,,,
,,,Sandra,Jansen,Ms Jansen,NDP,,,
,,,Brian,Jean,Mr. Jean,UCP,,,
,,,Anam,Kazim,Ms Kazim,NDP,,,
,,,Jason,Kenney,Mr. Kenney,UCP,,,
,,,Jamie,Kleinsteuber,Mr. Kleinsteuber,NDP,,,
,,,Danielle,Larivee,Ms Larivee,NDP,,,
,,,Jessica,Littlewood,Ms Littlewood,NDP,,,
,,,Todd,Loewen,Mr. Loewen,UCP,,,
,,,Rod,Loyola,Mr. Loyola,NDP,,,
,,,Robyn,Luff,Ms Luff,IDP,,,
,,,Don,MacIntyre,Mr. MacIntyre,IDP,,,
,,,Brian,Mason,Mr. Mason,NDP,,,
,,,Brian,Malkinson,Mr. Malkinson,NDP,,,
,,,Margaret,McCuaig-Boyd,Ms McCuaig-Boyd,NDP,,,
,,,Ric,McIver,Mr. McIver,UCP,,,
,,,Annie,McKitrick,Ms McKitrick,NDP,,,
,,,Stephanie,McLean,Ms McLean,NDP,,,
,,,Karen,McPherson,Ms McPherson,AB,,,
,,,Barb,Miller,Ms Miller,NDP,,,
,,,Ricardo,Miranda,Miranda,NDP,,,
,,,Chris,Nielsen,Mr. Nielsen,NDP,,,
,,,Jason,Nixon,Mr. Nixon,UCP,,,
,,,Rachel,Notley,Ms Notley,NDP,,,
,,,Ron,Orr,Mr. Orr,UCP,,,
,,,Prasad,Panda,Mr. Panda,UCP,,,
,,,Brandy,Payne,Ms Payne,NDP,,,
,,,Shannon,Phillips,Ms Phillips,NDP,,,
,,,Colin,Piquette,Mr. Piquette,NDP,,,
,,,Angela,Pitt,Mrs. Pitt,UCP,,,
,,,Marie,Renaud,Ms Renaud,NDP,,,
,,,Dave,Rodney,Mr. Rodney,UCP,,,
,,,Eric,Rosendahl,Mr. Rosendahl,NDP,,,
,,,Irfan,Sabir,Mr. Sabir,NDP,,,
,,,Marlin,Schmidt,Mr. Schmidt,NDP,,,
,,,Dave,Schneider,Mr. Schneider,UCP,,,
,,,Kim,Schreiner,Mrs. Schreiner,NDP,,,
,,,David,Shepherd,Mr. Shepherd,NDP,,,
,,,Lori,Sigurdson,Ms Sigurdson,NDP,,,
,,,Mark,Smith,Mr. Smith,UCP,,,
,,,Richard,Starke,Dr. Starke,UCP,,,
,,,Pat,Stier,Mr. Stier,UCP,,,
,,,Rick,Strankman,Mr. Strankman,IDP,,,
,,,Graham,Sucha,Mr. Sucha,NDP,,,
,,,David,Swann,Dr. Swann,LIB,,,
,,,Heather,Sweet,Ms Sweet,NDP,,,
,,,Wes,Taylor,Mr. Taylor,UCP,,,
,,,Bob,Turner,Dr. Turner,NDP,,,
,,,Glenn,van Dijken,Mr. van Dijken,UCP,,,
,,,Bob,Wanner,Mr. Wanner,NDP,,,
,,,Cam,Westhead,Mr. Westhead,NDP,,,
,,,Denise,Woollard,Ms Woollard,NDP,,,
,,,Tany,Yao,Mr. Yao,UCP,,,
